"Name","Category","geometry"
"Shake Shack","Fast Food",c(-74.0148288, 40.7152683)
"Chipotle","Fast Food",c(-74.011137, 40.7149834)
"Dunkin' Donuts","Fast Food",c(-74.4051482, 40.7068336)
"Noah's Bagels","Fast Food",c(-74.4048201, 40.7069424)
"Subway","Fast Food",c(-74.4054004, 40.70675)
"Boston Market","Fast Food",c(-73.9707647, 40.8495745)
"Burger King","Fast Food",c(-74.0018022, 40.8091315)
"Dunkin' Donuts","Fast Food",c(-74.0024379, 40.8087234)
"Panera Bread","Fast Food",c(-75.2029124, 39.9539597)
"Chipotle","Fast Food",c(-74.3492598, 40.6510572)
"Jersey Mike's Subs","Fast Food",c(-74.3485392, 40.6513403)
"Five Guys","Fast Food",c(-74.349834, 40.6504788)
"Casa di Pizza","Fast Food",c(-74.347894, 40.6511851)
"Qdoba","Fast Food",c(-74.3479425, 40.6514215)
"Subway","Fast Food",c(-74.3472905, 40.6517419)
"Jersey Subs","Fast Food",c(-74.444225, 40.4957509)
"Chipotle","Fast Food",c(-74.4439568, 40.496092)
"Dunkin'","Fast Food",c(-74.3451712, 40.5563406)
"Chipotle","Fast Food",c(-73.9668292, 40.8045376)
"Famous Famiglia","Fast Food",c(-73.9665667, 40.8048378)
"Dunkin'","Fast Food",c(-74.3078482, 40.6542226)
"Subway","Fast Food",c(-74.139358, 40.9842404)
"Orient Express","Fast Food",c(-75.153334, 39.9809671)
"Tai's Vietnamese","Fast Food",c(-75.1533548, 39.980881)
"Eddie's Pizza","Fast Food",c(-75.1533745, 39.9807955)
"Waffle Shop","Fast Food",c(-75.156024, 39.9818767)
"City Pizza","Fast Food",c(-75.1484817, 39.9215148)
"Chipotle","Fast Food",c(-75.1363288, 40.2309483)
"Panera Bread","Fast Food",c(-75.1362078, 40.2312035)
"Dunkin'","Fast Food",c(-75.2171007, 40.0356024)
"Dunkin' Donuts","Fast Food",c(-75.1564435, 40.097796)
"Dunkin'","Fast Food",c(-75.0954388, 40.9217495)
"Dover Dairy Maid","Fast Food",c(-74.5480639, 40.8886828)
"Dover Grill","Fast Food",c(-74.5479405, 40.8887072)
"Elevation Burger","Fast Food",c(-75.480288, 40.1651504)
"Chicken Time","Fast Food",c(-75.1304563, 40.1269786)
"Bora Bora Smoothie Cafe","Fast Food",c(-73.9934192, 40.6871791)
"Anna Maria","Fast Food",c(-73.9580055, 40.717408)
"McDonald's","Fast Food",c(-74.027066, 40.633655)
"Just Subs","Fast Food",c(-74.6438602, 40.5054448)
"Ozzy's Pizza Shop","Fast Food",c(-75.13045, 40.0375503)
"China Wok","Fast Food",c(-75.1311819, 40.0366127)
"Chipotle","Fast Food",c(-74.0130189, 40.7042039)
"Bagel Hut","Fast Food",c(-75.1563319, 39.979961)
"Sexy green truck","Fast Food",c(-75.1549736, 39.9798568)
"Roy Rogers","Fast Food",c(-74.0651013, 40.7700552)
"McDonald's","Fast Food",c(-73.9839473, 40.7431278)
"Chirping Chicken","Fast Food",c(-73.9791676, 40.781646)
"94 Corner Cafe","Fast Food",c(-73.9725595, 40.793131)
"Dunkin' Donuts","Fast Food",c(-74.0344777, 40.855717)
"CJ's","Fast Food",c(-74.0444971, 40.8517183)
"KFC","Fast Food",c(-74.0357437, 40.8634662)
"McDonald's","Fast Food",c(-73.926869, 40.743549)
"Dunkin'","Fast Food",c(-73.922786, 40.760926)
"McDonald's","Fast Food",c(-73.9261864, 40.760611)
"Royal Pizza","Fast Food",c(-75.2073144, 39.9496812)
"Gaetano's Pizza Grill & Bar","Fast Food",c(-75.1180647, 40.0521102)
"Subway","Fast Food",c(-75.510794, 39.1187434)
"Desi Chaat House","Fast Food",c(-75.2069469, 39.9496687)
"Jimmy John's","Fast Food",c(-75.2015114, 39.9542424)
"Chipotle","Fast Food",c(-75.2008225, 39.9540367)
"Allegro Pizza","Fast Food",c(-75.2029166, 39.9515046)
"Mood Cafe","Fast Food",c(-75.215798, 39.9486266)
"Taco Taco Mexican","Fast Food",c(-75.2103101, 39.9531386)
"Subway","Fast Food",c(-74.4982343, 40.447228)
"Panera Bread","Fast Food",c(-74.3825336, 40.4243998)
"Fiesta Pizza","Fast Food",c(-75.2135141, 39.9488497)
"Popeyes","Fast Food",c(-73.9438515, 40.6799571)
"Sweetgreen","Fast Food",c(-75.2011863, 39.9540795)
"Dunkin'","Fast Food",c(-73.9670424, 40.7989276)
"Dunkin'","Fast Food",c(-73.9714131, 40.7922751)
"Terri","Fast Food",c(-73.9925851, 40.7426147)
"Colonial Pizza","Fast Food",c(-75.2095111, 39.9513594)
"Taco Bell","Fast Food",c(-74.3635776, 40.5966066)
"New China Gourmet","Fast Food",c(-75.2098406, 39.9441234)
"Kabobeesh","Fast Food",c(-75.2065339, 39.9565219)
"Papa John's","Fast Food",c(-75.202506, 39.9551653)
"Crown Fried Chicken","Fast Food",c(-75.2022039, 39.9570085)
"Kam Lai 94","Fast Food",c(-73.9713199, 40.7930739)
"Dunkin'","Fast Food",c(-73.9749495, 40.7874464)
"Chili Garden","Fast Food",c(-75.2162982, 39.9485752)
"Chipotle","Fast Food",c(-74.4571643, 40.4613265)
"Panera Bread","Fast Food",c(-74.4597743, 40.4622841)
"Chipotle","Fast Food",c(-73.9811844, 40.778899)
"Gray's Papaya","Fast Food",c(-73.9815748, 40.7783771)
"Lucky's Chinese American Food","Fast Food",c(-75.2174355, 39.9484487)
"Panera Bread","Fast Food",c(-74.2974981, 40.5504933)
"Hunan Garden","Fast Food",c(-75.0712938, 39.9546909)
"Pasqually's Pizza","Fast Food",c(-75.2090122, 39.9545157)
"Panda Express","Fast Food",c(-75.0657312, 39.9585715)
"Domino's","Fast Food",c(-75.0653369, 39.9588614)
"Troy's Place","Fast Food",c(-75.0650096, 39.9590382)
"Wild Wings","Fast Food",c(-75.0651222, 39.9589643)
"Wendy's","Fast Food",c(-74.5939762, 39.3320633)
"Philly Pretzel Factory","Fast Food",c(-74.5958758, 39.3308431)
"Dunkin' Donuts","Fast Food",c(-74.2677221, 40.5083818)
"Kosher Deluxe","Fast Food",c(-73.9799814, 40.7562749)
"Dairy Queen","Fast Food",c(-75.355426, 40.4379612)
"Bo Sing Chinese-American Food","Fast Food",c(-75.2023478, 39.9570507)
"Wendy's","Fast Food",c(-75.1660978, 39.9512282)
"Gyro ?","Fast Food",c(-75.2102001, 39.9567503)
"77 Burger","Fast Food",c(-74.0105616, 40.7041371)
"Golden Chopsticks","Fast Food",c(-74.01052, 40.7040673)
"Just Salad","Fast Food",c(-74.0071699, 40.7068901)
"Potbelly","Fast Food",c(-74.0117645, 40.7038875)
"Potbelly","Fast Food",c(-74.006986, 40.707064)
"Pret A Manger","Fast Food",c(-74.011721, 40.7054601)
"Ruben's Empanadas","Fast Food",c(-74.0104728, 40.7039938)
"Terrace Fish & Chip","Fast Food",c(-74.0105398, 40.7041023)
"Traditas Pizza","Fast Food",c(-74.0075651, 40.7075612)
"Hanover Gourmet Deli","Fast Food",c(-74.0098062, 40.7050665)
"Proper Food","Fast Food",c(-74.0084586, 40.7057203)
"Dunkin'","Fast Food",c(-74.0086819, 40.706856)
"Leo's Bagels","Fast Food",c(-74.0097089, 40.7049092)
"Underground Pizza","Fast Food",c(-74.0097378, 40.7049559)
"Five Guys","Fast Food",c(-75.198405, 39.9510545)
"Dunkin'","Fast Food",c(-75.3563963, 40.4397963)
"Taim Kitchen","Fast Food",c(-73.9737697, 40.7924633)
"Peking Inn","Fast Food",c(-75.2215029, 39.9483761)
"Penn Cafe & Pizzeria","Fast Food",c(-75.2216453, 39.9483851)
"Atlas Pizza","Fast Food",c(-75.2274388, 39.9475369)
"China Inn","Fast Food",c(-75.2113941, 39.9541327)
"Five Guys","Fast Food",c(-75.3610111, 40.4468629)
