,Rank,MedianHouseholdIncome,Zip,Population,geometry,Longitude,Latitude
55,56,131569,7738,6336,POINT (-74.12746832 40.33773949),-74.12746832,40.33773949
56,57,130664,8833,8890,POINT (-74.82078823 40.64519328),-74.82078823,40.64519328
57,58,130509,7760,8984,POINT (-74.00679498 40.36123969),-74.00679498,40.36123969
58,59,128822,8540,48300,POINT (-74.664201 40.31641538),-74.664201,40.31641538
59,60,128162,8056,4640,POINT (-75.25170349 39.78301902),-75.25170349,39.78301902
60,61,126042,7711,1312,POINT (-74.01529175 40.24368094),-74.01529175,40.24368094
61,62,125906,7830,6674,POINT (-74.8104875 40.73890745),-74.8104875,40.73890745
62,63,125600,7871,20883,POINT (-74.617249 41.02177491),-74.617249,41.02177491
63,64,125583,7920,26955,POINT (-74.54066975 40.6927019),-74.54066975,40.6927019
64,65,124821,7401,6666,POINT (-74.13324703 41.03315568),-74.13324703,41.03315568
65,66,124306,7702,3899,POINT (-74.06010647 40.32494028),-74.06010647,40.32494028
66,67,124289,8889,9831,POINT (-74.7595869 40.607605),-74.7595869,40.607605
67,68,123003,7023,7475,POINT (-74.38567558 40.64170057),-74.38567558,40.64170057
68,69,122500,8510,4731,POINT (-74.42150655 40.1904123),-74.42150655,40.1904123
69,70,122165,7446,14650,POINT (-74.1456249 41.05944294),-74.1456249,41.05944294
70,71,121979,8515,7135,POINT (-74.64565489 40.11607422),-74.64565489,40.11607422
71,72,121475,7901,22963,POINT (-74.36591957 40.71470847),-74.36591957,40.71470847
72,73,121213,7079,16476,POINT (-74.26027563 40.74908258),-74.26027563,40.74908258
73,73,121213,7082,5341,POINT (-74.34530986 40.92639729),-74.34530986,40.92639729
74,75,120711,8730,4772,POINT (-74.06366999 40.10487407),-74.06366999,40.10487407
75,76,120566,8853,5344,POINT (-74.74010084 40.5292908),-74.74010084,40.5292908
76,77,120031,8720,955,POINT (-74.10105184 40.13873812),-74.10105184,40.13873812
77,78,119725,7624,8519,POINT (-73.968095 40.9754325),-73.968095,40.9754325
78,79,119635,8062,15810,POINT (-75.22204639 39.71540032),-75.22204639,39.71540032
